#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237657628971893085,125.166604056575,32.7415424610868,19.3235,17.48451,16.75399,16.35419,16.03513,2830,301,3,108,970552971618183168,GALAXY,0.08998224,862,52325,99
1237662503761215799,247.968426134556,28.3942611891807,19.46324,17.38551,16.40416,15.97523,15.61216,3965,301,3,130,1599909043135080448,GALAXY,0.09777248,1421,53149,19
1237664874046357514,130.850987259853,23.498553963455,17.74881,16.69524,16.19307,16.00481,15.92386,4517,301,2,131,3797811376630636544,STAR,0.0002035977,3373,54940,549
1237661850929070207,173.838262726788,44.3966550417408,19.56951,18.2928,17.76531,17.58614,17.52179,3813,301,3,174,3619788623018303488,STAR,-7.036825E-05,3215,54861,74
1237678858464198837,342.697634059895,11.1076149435904,19.55744,17.46571,16.44621,15.97754,15.57301,7773,301,2,197,5685812775768840192,GALAXY,0.0820672,5050,56215,66
1237678858474750036,7.27335918300446,12.0079429289851,19.51252,17.58586,16.59778,16.18047,15.75792,7773,301,2,358,6969348015334381568,GALAXY,0.09274676,6190,56210,100
1237664092899115053,129.94822076916,25.213328468992,19.54955,18.19434,17.8322,17.51329,17.47054,4335,301,3,130,2173034979993348096,GALAXY,0.07081252,1930,53347,175
1237673706112418082,107.337702311779,39.9444914678554,18.68743,17.12236,16.46455,16.20788,16.07677,6573,301,5,172,3313660665444460544,STAR,5.096586E-05,2943,54502,499
1237673706117136630,121.298754489824,42.78781463328,19.1071,18.11619,17.84034,17.73954,17.7045,6573,301,5,244,9319086291986700288,STAR,-8.901825E-06,8277,57073,46
1237665025443168418,188.315197686063,35.3411539008409,19.3009,17.45881,16.68562,16.37182,16.18636,4552,301,4,119,3822548740061896704,STAR,-0.000118809,3395,55004,431
1237663788486754344,110.450270593226,41.2277370262125,19.15152,17.88192,17.81419,17.83793,17.92105,4264,301,4,30,3608653593667805184,STAR,-5.458151E-05,3205,54848,525
1237663788497698932,132.017788474726,62.8345354488387,18.30466,16.27299,15.33813,14.92293,14.69998,4264,301,4,197,3697552133420326912,STAR,-0.0001126887,3284,54907,352
1237661360769400880,226.001699839166,38.6196988347261,16.605,15.66234,15.39406,15.29443,15.29302,3699,301,2,227,5817649714997516288,STAR,-0.000184329,5167,56066,454
1237662195610943702,217.057165583173,38.7317127296417,17.50494,16.25505,15.661,15.35973,15.07854,3893,301,5,338,1555011584319842304,GALAXY,0.02274525,1381,53089,523
1237665535463456934,229.987892449268,23.6163256238943,18.47965,18.77946,19.2835,19.65342,20.02192,4671,301,2,11,4459718762921482240,STAR,4.321866E-05,3961,55654,106
1237663230680825929,280.999000771064,79.17043582813,18.12315,16.92512,16.41964,16.22689,16.11032,4134,301,5,75,3154929391469881344,STAR,-0.0004681775,2802,54326,574
1237663230681874584,293.276189839935,78.6971886422135,18.72582,17.54478,17.06506,16.88649,16.7968,4134,301,5,91,2090948462752327680,STAR,-1.507582E-05,1857,53182,554
1237667209971499043,133.286889457064,18.4378966780249,18.76147,16.80314,15.84066,15.4052,15.05621,5061,301,1,128,2570515586668849152,GALAXY,0.07661986,2283,53729,313
1237652933495226846,314.869678080777,-7.55474954065018,18.74595,16.78186,15.80089,15.30923,14.99064,1737,301,1,52,717281565138249728,GALAXY,0.07839075,637,52174,303
1237652933497454911,320.023740304036,-8.33050088649381,19.14947,17.46092,16.66344,16.25123,16.03353,1737,301,1,86,719463270615902208,GALAXY,0.111841,639,52146,48
1237662335717539991,237.832702541766,32.4620166636329,17.38938,16.32273,16.03909,15.72988,15.5676,3926,301,2,83,1580850103143393280,GALAXY,0.05533288,1404,52825,315
1237662337328218420,238.996201359559,33.3518281223036,19.49991,17.88527,17.08528,16.60061,16.28959,3926,301,5,84,1579641196853094400,GALAXY,0.1051556,1403,53227,13
1237662307270525091,233.704268005024,31.7865399652654,19.42112,17.7951,16.93176,16.4222,16.05842,3919,301,5,192,1562900305874544640,GALAXY,0.1068505,1388,53119,550
1237669517979615288,2.11712820148347,7.66376143788697,17.82389,16.75859,16.30879,16.13584,16.07477,5598,301,4,129,12733034184836405248,STAR,-0.0003251844,11309,58428,844
1237678661435785332,27.0428824475189,4.27545219219603,17.92037,17.03605,16.74838,16.66344,16.63228,7727,301,3,246,10616356648657377280,STAR,-0.0003118299,9429,58132,896
1237657776608378971,117.149198864611,28.0045603839859,18.3642,16.94319,16.4234,16.24592,16.16556,2864,301,6,62,2313767801833154560,STAR,8.623392E-05,2055,53729,158
1237673706110255317,101.361412336259,38.1652442886424,17.95206,16.73007,16.31046,16.16599,16.10053,6573,301,5,139,3019788418558224384,STAR,-8.251056E-05,2682,54401,454
1237654601021063251,137.552097644157,3.06056081247686,18.70699,17.26774,16.7309,16.42507,16.21745,2125,301,3,125,637279725785475072,GALAXY,0.05277221,566,52238,74
1237650372095901731,187.639503620216,-1.26166657540229,18.9509,18.72123,19.01488,19.28876,19.83932,1140,301,6,232,376207007851505664,STAR,8.065083E-05,334,51993,569
1237657589779464316,158.603705085456,51.4176958375431,19.07973,17.19942,16.32127,15.85395,15.42775,2821,301,2,95,1136071258392258560,GALAXY,0.04279803,1009,52644,139
1237665535467585854,239.259701762837,19.8024011225757,19.20889,18.27878,17.97433,17.84095,17.78939,4671,301,2,74,4426173207813576704,STAR,-0.0001973755,3931,55350,948
1237673705578168672,115.0240662279,41.213620830793,19.57347,18.13207,17.58797,17.38987,17.27197,6573,301,4,212,3559035381527715840,STAR,-2.638719E-05,3161,54779,239
1237667783885259033,129.505189721733,14.1587811029795,19.09834,17.89322,17.34998,17.12917,17.0354,5194,301,6,109,3590561954214813696,STAR,7.644703E-05,3189,54833,244
1237670965393621064,158.886270268295,18.2120812030884,18.53873,16.71179,15.88959,15.50151,15.1892,5935,301,4,282,2919510480412239872,GALAXY,0.06489433,2593,54175,189
1237664854186721453,229.811598104159,29.3400199419535,19.26974,17.20675,16.13576,15.69685,15.33169,4512,301,5,201,2078515476769564672,GALAXY,0.1176238,1846,54173,379
1237665441533264253,237.535856892882,19.0877485311371,19.23344,17.21895,16.27084,15.85503,15.52531,4649,301,3,350,2445528610786797568,GALAXY,0.09194683,2172,54230,269
1237665441521205341,208.797977634154,27.4840915156273,19.50368,17.68116,16.77212,16.31141,15.97593,4649,301,3,166,2380161538594990080,GALAXY,0.08311281,2114,53848,33
1237651737384255596,218.188102230525,2.91502098106631,15.78919,14.93128,14.59275,14.4834,14.35984,1458,301,5,623,602511239960094720,GALAXY,0.005095138,535,51999,563
1237672025705808515,328.718127333477,45.7009675339744,17.60107,15.76805,15.04603,14.77749,14.60021,6182,301,3,162,2877893962364905472,STAR,-0.0001472734,2556,54000,341
1237668336863346725,246.73875366433,12.6172063536882,19.25531,17.74113,17.36661,17.09105,16.97423,5323,301,4,125,2848691481290500096,GALAXY,0.05178985,2530,53881,599
1237668336862298570,244.539936636759,13.4325839833685,18.19418,17.43052,17.23244,17.06338,16.94289,5323,301,4,109,2848615614988183552,GALAXY,0.03419787,2530,53881,323
1237668349752836371,229.582901566968,12.7892571870337,19.59216,18.13156,17.24223,16.80327,16.49559,5326,301,4,195,3099718787927140352,GALAXY,0.1314375,2753,54234,423
1237661968501375102,177.219907341926,43.1314278828831,19.25859,19.71247,20.18405,20.6573,20.80943,3840,301,6,137,1629266003110160384,GALAXY,0.2803976,1447,53120,323
1237678858457645619,327.676605236769,9.45421817559782,18.80359,16.9113,16.02542,15.61801,15.29591,7773,301,2,97,4610695450676451328,GALAXY,0.0717263,4095,55497,492
1237667536938533012,161.971802263574,22.518933100828,19.45875,17.71139,16.9425,16.57785,16.30282,5137,301,2,321,2793439651044550656,GALAXY,0.04548405,2481,54086,298
1237658423563780322,182.94839321045,7.45406725082767,19.24729,17.61446,16.62943,16.16886,15.83871,3015,301,3,458,1828570906927065088,GALAXY,0.1407316,1624,53386,398
1237666301628055583,47.3725449025324,0.820620553172232,18.69254,17.13867,16.55555,16.34662,16.17639,4849,301,5,771,8168632633242441728,STAR,0.0001146536,7255,56597,832
1237655107303833608,183.158754177097,59.2123872911157,18.26204,17.3977,17.05651,16.89809,16.89068,2243,301,2,331,9274042617401989120,STAR,-0.001198756,8237,58162,18
1237655501884358786,250.511776754849,40.0720805036636,18.58878,16.88393,16.20003,15.93458,15.79324,2335,301,1,32,3858565991789338624,STAR,-5.854268E-05,3427,54979,389
1237661816021975104,189.135651953419,11.6926535843216,19.504,18.98708,18.94693,18.92961,18.76619,3805,301,2,14,6090130135008434176,QSO,2.365565,5409,55957,500
1237663462605586656,346.906746668699,0.747017679496557,19.16576,17.84907,17.38565,17.10371,16.96327,4188,301,5,22,763506420271310848,GALAXY,0.06981023,678,52884,532
1237667209985786014,167.518616705268,27.6840852736752,19.25711,18.05877,17.47173,17.12516,16.92592,5061,301,1,346,2492831792722110464,GALAXY,0.03568653,2214,53794,325
1237673705578299431,115.333440796063,41.3850988001918,18.52352,17.07194,16.5546,16.39505,16.31809,6573,301,4,214,4127629409825085440,STAR,-7.089356E-07,3666,55185,292
1237667210527572119,180.108191283788,29.1538311439441,19.23679,18.03151,17.29202,16.88114,16.63855,5061,301,2,421,2505181781112678400,GALAXY,0.1570437,2225,53729,198
1237667782837534803,191.855190403802,22.3803355416653,19.5598,19.43622,19.0257,18.95875,19.01827,5194,301,4,506,2981401995140687872,QSO,1.251552,2648,54485,69
1237674289683497304,122.841076349152,34.5816464402045,18.42506,16.56125,15.67387,15.25637,14.91427,6709,301,4,56,928966692472645632,GALAXY,0.05318789,825,52289,361
1237674289683431666,122.577530895333,34.6799638754168,19.09578,17.61458,16.90284,16.50938,16.25396,6709,301,4,55,928956796867995648,GALAXY,0.08249907,825,52289,325
1237664880493461590,158.731155811849,35.8000748304497,19.56158,17.81769,16.95937,16.55502,16.25468,4518,301,6,202,2221414867431090176,GALAXY,0.07046887,1973,53432,52
1237655472894246915,247.721054790561,40.8021988301901,18.12713,16.51987,15.78623,15.40388,15.12937,2328,301,3,46,919970214999779328,GALAXY,0.03286429,817,52381,400
1237664854185214282,226.311277034029,30.7485661142359,18.72123,16.92936,16.07975,15.70222,15.43044,4512,301,5,178,2076313979025647616,GALAXY,0.09067634,1844,54138,562
1237664854189867395,237.216820655792,26.0749455928026,19.16432,17.87799,17.16705,16.7358,16.491,4512,301,5,249,2083010273811130368,GALAXY,0.06940851,1850,53786,347
1237661360765992973,216.706982812242,42.1203508526303,19.12873,18.17958,17.95441,17.8771,17.678,3699,301,2,175,6823050294395688960,STAR,-0.0009585693,6060,56074,352
1237649768105640373,358.762688835382,55.9014304703085,16.3757,14.30033,13.36753,13.03158,12.75918,1000,301,1,72,2676334239389162496,STAR,-0.0001282493,2377,53991,255
1237646796521997292,109.948843606571,-0.348659703893998,19.54112,17.65736,16.90951,16.6244,16.44367,308,301,2,24,8388041829929736192,STAR,0.0002116798,7450,56722,318
1237667549808820278,166.366487884163,23.3247794548089,17.73794,16.27286,15.69153,15.62691,15.52521,5140,301,2,98,2798988332950906880,STAR,-0.000174368,2486,53876,4
1237661386004430901,241.178254773036,39.8671823813683,18.49825,17.12139,16.56987,16.34295,16.24417,3705,301,1,259,3903602538154401792,STAR,-0.0001419647,3467,54999,391
1237664853649981570,230.017986558363,28.8998932060548,18.97544,17.53899,16.75547,16.343,16.03135,4512,301,4,203,2079626258441857024,GALAXY,0.08350702,1847,54176,324
1237664853652668585,236.094210149157,26.0595455873424,18.36715,16.77127,16.07226,15.71335,15.43353,4512,301,4,244,2081940724881844224,GALAXY,0.03727384,1849,53846,552
1237657589785755775,182.04855741372,54.4202622143973,19.32914,18.42183,18.11385,18.00414,17.94544,2821,301,2,191,7530100323278673920,STAR,-0.00043013,6688,56412,297
1237662307269476567,231.27539347874,33.0269772598513,19.52533,18.39768,17.94756,17.66525,17.51264,3919,301,5,176,1561763685712553984,GALAXY,0.07810873,1387,53118,511
1237662307259383875,204.026899636164,41.3753350242441,18.79491,17.08592,16.30969,15.94921,15.66963,3919,301,5,22,1648457153452730368,GALAXY,0.06496777,1464,53091,508
1237669517975748625,353.095265520441,7.55014759618882,18.60897,17.66824,17.29002,17.09296,17.17889,5598,301,4,70,12708211610344511488,STAR,-0.0008746386,11287,58429,652
1237678661436833926,29.4051863662974,4.16222648628916,19.40769,19.31576,19.12592,19.26383,19.33759,7727,301,3,262,9838370521020127232,QSO,0.9881379,8738,57402,935
1237657776608379099,117.335323496119,27.9955472681312,17.91377,16.63852,16.12204,15.92342,15.82397,2864,301,6,62,3633397004094251008,STAR,0.0002567506,3227,54893,429
1237663785277587674,14.7442809216969,1.00474897253788,19.4377,18.53167,18.25853,18.1586,18.14568,4263,301,6,214,3503924010838761472,STAR,6.890862E-05,3112,54802,449
1237663785278308429,16.4421512171753,0.886305123940704,18.87418,17.48917,16.96079,16.76294,16.66895,4263,301,6,225,2604307152352864256,STAR,3.268256E-05,2313,53726,366
1237658206121558102,183.001198984074,51.0884101789778,17.49386,15.62938,14.77691,14.40687,14.20124,2964,301,6,313,3258509987449694208,STAR,-0.0003943219,2894,54539,566
1237661362910789780,209.597935735324,45.7392994596898,18.68834,17.45821,16.82047,16.4297,16.18686,3699,301,6,134,1650729568975218688,GALAXY,0.1064154,1466,53083,583
1237663789024084104,110.550639776748,42.4140370955169,19.55627,18.25028,17.53554,17.12066,16.8594,4264,301,5,37,2098773689205024768,GALAXY,0.1263044,1864,53313,350
1237671257974505669,56.3993865957554,10.2164905810883,19.51421,17.77231,16.96791,16.63529,16.45549,6003,301,5,72,3016360690504984576,STAR,6.846686E-05,2679,54368,272
1237668758849716520,306.345888638667,-12.493882275473,17.84393,16.72159,16.23635,16.0649,15.98484,5421,301,6,214,3532108066063491072,STAR,7.832261E-05,3137,54730,582
